Year,Month,Sector,Quantity,UNIT
2004,June,Other,150.67208454933404,GWh
2004,June,Free of Charge,97.605021,GWh
2004,July,Residential,2131.09103,GWh
2004,July,Business,1944.750144270915,GWh
2004,July,Industrial,5336.131694962622,GWh
2004,July,Government & Non-Profit,340.566135,GWh
2004,July,Agriculture,20.921656,GWh
2004,July,Other,128.61681615275478,GWh
2004,July,Free of Charge,99.005148,GWh
2004,August,Residential,2094.954603,GWh
2004,August,Business,1899.142093774422,GWh
2004,August,Industrial,5217.590996144219,GWh
2004,August,Government & Non-Profit,339.519901,GWh
2004,August,Agriculture,7.716441,GWh
2004,August,Other,165.24726289817477,GWh
2004,August,Free of Charge,99.247854,GWh
2004,September,Residential,2084.941987,GWh
2004,September,Business,1893.53759422776,GWh
2004,September,Industrial,5293.067061859152,GWh
2004,September,Government & Non-Profit,347.969974,GWh
2004,September,Agriculture,10.976238,GWh
2004,September,Other,76.84803346523367,GWh
2004,September,Free of Charge,98.586316,GWh
2004,October,Residential,2091.881043,GWh
2004,October,Business,1879.1059756942539,GWh
2004,October,Industrial,5464.454962359997,GWh
2004,October,Government & Non-Profit,322.45912,GWh
2004,October,Agriculture,24.203817,GWh
2004,October,Other,161.19631577694403,GWh
2004,October,Free of Charge,99.428133,GWh
2004,November,Residential,2063.229991,GWh
2004,November,Business,1880.6348147206,GWh
2004,November,Industrial,5227.738918309882,GWh
2004,November,Government & Non-Profit,319.741012,GWh
2004,November,Agriculture,22.970197,GWh
2004,November,Other,120.36776298678625,GWh
2004,November,Free of Charge,97.769025,GWh
2004,December,Residential,1767.152762,GWh
2004,December,Business,1714.9675236883693,GWh
2004,December,Industrial,5043.82236479085,GWh
2004,December,Government & Non-Profit,282.446278,GWh
2004,December,Agriculture,21.73577,GWh
2004,December,Other,132.72370258961865,GWh
2004,December,Free of Charge,98.378394,GWh
2005,January,Residential,1758.133105,GWh
2005,January,Business,1705.3571318001564,GWh
2005,January,Industrial,5080.030634981737,GWh
2005,January,Government & Non-Profit,270.918216,GWh
2005,January,Agriculture,29.310106,GWh
2005,January,Other,138.8904834481724,GWh
2005,January,Free of Charge,109.007609,GWh
2005,February,Residential,1925.123518,GWh
2005,February,Business,1784.2295126849467,GWh
2005,February,Industrial,4987.265812059567,GWh
2005,February,Government & Non-Profit,303.927074,GWh
2005,February,Agriculture,32.946426,GWh
2005,February,Other,148.92905263389838,GWh
2005,February,Free of Charge,97.472907,GWh
2005,March,Residential,2128.936723,GWh
2005,March,Business,1967.7355529553022,GWh
2005,March,Industrial,5793.325648624901,GWh
2005,March,Government & Non-Profit,327.1079,GWh
2005,March,Agriculture,36.097487,GWh
2005,March,Other,157.64415739607875,GWh
2005,March,Free of Charge,103.245262,GWh
2005,April,Residential,2354.264762,GWh
2005,April,Business,1990.7666638315027,GWh
2005,April,Industrial,5218.527641514048,GWh
2005,April,Government & Non-Profit,305.772652,GWh
2005,April,Agriculture,23.87323,GWh
2005,April,Other,147.31602802776868,GWh
2005,April,Free of Charge,104.866872,GWh
2005,May,Residential,2495.137168,GWh
2005,May,Business,2097.190483493298,GWh
2005,May,Industrial,5781.862750311753,GWh
2005,May,Government & Non-Profit,346.099453,GWh
2005,May,Agriculture,21.929536,GWh
2005,May,Other,167.92926645600335,GWh
2005,May,Free of Charge,104.083275,GWh
2005,June,Residential,2281.022882,GWh
2005,June,Business,2048.9716965176904,GWh
2005,June,Industrial,5591.628476886823,GWh
2005,June,Government & Non-Profit,360.938337,GWh
2005,June,Agriculture,16.69163,GWh
2005,June,Other,179.2429421641961,GWh
2005,June,Free of Charge,103.815814,GWh
2005,July,Residential,2188.609927,GWh
2005,July,Business,1984.4330195278853,GWh
2005,July,Industrial,5543.489082162523,GWh
2005,July,Government & Non-Profit,340.800531,GWh
2005,July,Agriculture,19.397872,GWh
2005,July,Other,144.4137825512047,GWh
2005,July,Free of Charge,103.318574,GWh
2005,August,Residential,2143.174426,GWh
2005,August,Business,1995.1535284679248,GWh
