Year,Month,Tariff,Quantity,UNIT
2004,May,Government & Nonprofit,326.183651,GWh
2004,May,Agriculture Pumping,16.238015,GWh
2004,May,Temporary,42.871768,GWh
2004,May,Stand By Rate,2.026649,GWh
2004,May,Interruptible Rate,141.11256,GWh
2004,May,Free of Charge,98.757508,GWh
2004,May,Direct Customer,154.891047,GWh
2004,June,Residential (< 150),617.655089,GWh
2004,June,Residential (> 150),1471.072958,GWh
2004,June,Small  General,934.301518,GWh
2004,June,Medium  General,1680.575203,GWh
2004,June,Large General,3873.24145,GWh
2004,June,Specific  Business,274.254984,GWh
2004,June,Government & Nonprofit,346.461176,GWh
2004,June,Agriculture Pumping,10.102518,GWh
2004,June,Temporary,40.880217,GWh
2004,June,Stand By Rate,1.704784,GWh
2004,June,Interruptible Rate,144.799935,GWh
2004,June,Free of Charge,97.605021,GWh
2004,June,Direct Customer,164.084975,GWh
2004,July,Residential (< 150),606.080972,GWh
2004,July,Residential (> 150),1525.010058,GWh
2004,July,Small  General,949.259557,GWh
2004,July,Medium  General,1783.920791,GWh
2004,July,Large General,3997.505079,GWh
2004,July,Specific  Business,300.970679,GWh
2004,July,Government & Nonprofit,340.566135,GWh
2004,July,Agriculture Pumping,20.921656,GWh
2004,July,Temporary,42.975975,GWh
2004,July,Stand By Rate,4.923708,GWh
2004,July,Interruptible Rate,156.549451,GWh
2004,July,Free of Charge,99.005148,GWh
2004,July,Direct Customer,173.39355,GWh
2004,August,Residential (< 150),598.856976,GWh
2004,August,Residential (> 150),1496.097627,GWh
2004,August,Small  General,931.747097,GWh
2004,August,Medium  General,1724.30204,GWh
2004,August,Large General,3990.149374,GWh
2004,August,Specific  Business,300.438598,GWh
2004,August,Government & Nonprofit,339.519901,GWh
2004,August,Agriculture Pumping,7.716441,GWh
2004,August,Temporary,41.083686,GWh
2004,August,Stand By Rate,3.286998,GWh
2004,August,Interruptible Rate,132.119565,GWh
2004,August,Free of Charge,99.247854,GWh
2004,August,Direct Customer,158.853104,GWh
2004,September,Residential (< 150),609.152888,GWh
2004,September,Residential (> 150),1475.789099,GWh
2004,September,Small  General,941.584914,GWh
2004,September,Medium  General,1670.460823,GWh
2004,September,Large General,4032.739593,GWh
2004,September,Specific  Business,280.455676,GWh
2004,September,Government & Nonprofit,347.969974,GWh
2004,September,Agriculture Pumping,10.976238,GWh
2004,September,Temporary,44.808542,GWh
2004,September,Stand By Rate,6.754593,GWh
2004,September,Interruptible Rate,124.904596,GWh
2004,September,Free of Charge,98.586316,GWh
2004,September,Direct Customer,161.744019,GWh
2004,October,Residential (< 150),604.021322,GWh
2004,October,Residential (> 150),1487.859721,GWh
2004,October,Small  General,961.437491,GWh
2004,October,Medium  General,1700.697488,GWh
2004,October,Large General,4154.745484,GWh
2004,October,Specific  Business,294.404538,GWh
2004,October,Government & Nonprofit,322.45912,GWh
2004,October,Agriculture Pumping,24.203817,GWh
2004,October,Temporary,43.388266,GWh
2004,October,Stand By Rate,4.612551,GWh
2004,October,Interruptible Rate,180.457416,GWh
2004,October,Free of Charge,99.428133,GWh
2004,October,Direct Customer,165.014088,GWh
2004,November,Residential (< 150),594.927249,GWh
2004,November,Residential (> 150),1468.302742,GWh
2004,November,Small  General,958.806118,GWh
2004,November,Medium  General,1671.923895,GWh
2004,November,Large General,3967.54326,GWh
2004,November,Specific  Business,292.076713,GWh
2004,November,Government & Nonprofit,319.741012,GWh
2004,November,Agriculture Pumping,22.970197,GWh
2004,November,Temporary,44.055683,GWh
2004,November,Stand By Rate,5.722716,GWh
2004,November,Interruptible Rate,161.98836,GWh
2004,November,Free of Charge,97.769025,GWh
2004,November,Direct Customer,126.624817,GWh
2004,December,Residential (< 150),550.540105,GWh
2004,December,Residential (> 150),1216.612657,GWh
2004,December,Small  General,865.92137,GWh
2004,December,Medium  General,1571.561021,GWh
2004,December,Large General,3800.8564,GWh
2004,December,Specific  Business,266.791258,GWh
2004,December,Government & Nonprofit,282.446278,GWh
2004,December,Agriculture Pumping,21.73577,GWh
2004,December,Temporary,40.248162,GWh
2004,December,Stand By Rate,1.567188,GWh
2004,December,Interruptible Rate,184.079236,GWh
2004,December,Free of Charge,98.378394,GWh
2004,December,Direct Customer,160.48904,GWh
2005,January,Residential (< 150),548.597109,GWh
2005,January,Residential (> 150),1209.535996,GWh
2005,January,Small  General,855.129106,GWh
2005,January,Medium  General,1529.541441,GWh
2005,January,Large General,3892.322772,GWh
2005,January,Specific  Business,257.169118,GWh
2005,January,Government & Nonprofit,270.918216,GWh
2005,January,Agriculture Pumping,29.310106,GWh
2005,January,Temporary,40.222976,GWh
2005,January,Stand By Rate,8.728846,GWh
2005,January,Interruptible Rate,187.633875,GWh
2005,January,Free of Charge,109.007609,GWh
2005,January,Direct Customer,153.530179,GWh
2005,February,Residential (< 150),575.827701,GWh
2005,February,Residential (> 150),1349.295817,GWh
2005,February,Small  General,920.302917,GWh
2005,February,Medium  General,1569.520365,GWh
2005,February,Large General,3791.256087,GWh
2005,February,Specific  Business,278.733308,GWh
2005,February,Government & Nonprofit,303.927074,GWh
2005,February,Agriculture Pumping,32.946426,GWh
2005,February,Temporary,44.537263,GWh
2005,February,Stand By Rate,5.761752,GWh
2005,February,Interruptible Rate,158.272169,GWh
2005,February,Free of Charge,97.472907,GWh
2005,February,Direct Customer,152.040642,GWh
2005,March,Residential (< 150),654.415432,GWh
2005,March,Residential (> 150),1474.521291,GWh
2005,March,Small  General,1003.356064,GWh
2005,March,Medium  General,1813.44673,GWh
2005,March,Large General,4383.273519,GWh
2005,March,Specific  Business,296.645626,GWh
2005,March,Government & Nonprofit,327.1079,GWh
2005,March,Agriculture Pumping,36.097487,GWh
2005,March,Temporary,46.054124,GWh
2005,March,Stand By Rate,2.167399,GWh
2005,March,Interruptible Rate,194.876249,GWh
2005,March,Free of Charge,103.245262,GWh
2005,March,Direct Customer,178.885767,GWh
2005,April,Residential (< 150),715.330834,GWh
2005,April,Residential (> 150),1638.933928,GWh
2005,April,Small  General,1044.451135,GWh
2005,April,Medium  General,1671.360865,GWh
2005,April,Large General,3943.999693,GWh
2005,April,Specific  Business,324.144885,GWh
2005,April,Government & Nonprofit,305.772652,GWh
2005,April,Agriculture Pumping,23.87323,GWh
2005,April,Temporary,44.681087,GWh
2005,April,Stand By Rate,9.845523,GWh
2005,April,Interruptible Rate,153.532542,GWh
2005,April,Free of Charge,104.866872,GWh
2005,April,Direct Customer,164.594693,GWh
2005,May,Residential (< 150),745.582235,GWh
2005,May,Residential (> 150),1749.554933,GWh
2005,May,Small  General,1119.783731,GWh
