Year,Month,LOAD,Quantity,UNIT
1992,January,LOAD FACTOR,70.92,%
1992,February,PEAK,8193.4,MW
1992,February,GENERATION,4199.003697,GWh
1992,February,LOAD FACTOR,73.63,%
1992,March,PEAK,8578.2,MW
1992,March,GENERATION,4928.644954,GWh
1992,March,LOAD FACTOR,77.22,%
1992,April,PEAK,8876.9,MW
1992,April,GENERATION,4893.228362,GWh
1992,April,LOAD FACTOR,76.56,%
1992,May,PEAK,8847.8,MW
1992,May,GENERATION,5102.496516,GWh
1992,May,LOAD FACTOR,77.51,%
1992,June,PEAK,8777,MW
1992,June,GENERATION,4903.557406,GWh
1992,June,LOAD FACTOR,77.59,%
1992,July,PEAK,8811.3,MW
1992,July,GENERATION,5007.138923,GWh
1992,July,LOAD FACTOR,76.37,%
1992,August,PEAK,8753.6,MW
1992,August,GENERATION,4977.965209,GWh
1992,August,LOAD FACTOR,76.43,%
1992,September,PEAK,8845.8,MW
1992,September,GENERATION,4986.503686,GWh
1992,September,LOAD FACTOR,78.29,%
1992,October,PEAK,8873.5,MW
1992,October,GENERATION,4906.749208,GWh
1992,October,LOAD FACTOR,74.32,%
1992,November,PEAK,8859.5,MW
1992,November,GENERATION,4648.34124,GWh
1992,November,LOAD FACTOR,72.87,%
1992,December,PEAK,8903.5,MW
1992,December,GENERATION,4724.428245,GWh
1992,December,LOAD FACTOR,71.32,%
1993,January,PEAK,8848.2,MW
1993,January,GENERATION,4721.292654,GWh
1993,January,LOAD FACTOR,71.71,%
1993,February,PEAK,9030.1,MW
1993,February,GENERATION,4627.755901,GWh
1993,February,LOAD FACTOR,76.26,%
1993,March,PEAK,9455.9,MW
1993,March,GENERATION,5488.048514,GWh
1993,March,LOAD FACTOR,78,%
1993,April,PEAK,9465.1,MW
1993,April,GENERATION,5227.315278,GWh
1993,April,LOAD FACTOR,76.7,%
1993,May,PEAK,9577.1,MW
1993,May,GENERATION,5653.74286,GWh
1993,May,LOAD FACTOR,79.34,%
1993,June,PEAK,9613.4,MW
1993,June,GENERATION,5510.416303,GWh
1993,June,LOAD FACTOR,79.61,%
1993,July,PEAK,9730,MW
1993,July,GENERATION,5762.275385,GWh
1993,July,LOAD FACTOR,79.59,%
1993,August,PEAK,9388.2,MW
1993,August,GENERATION,5448.326136,GWh
1993,August,LOAD FACTOR,78,%
1993,September,PEAK,9592.5,MW
1993,September,GENERATION,5461.033905,GWh
1993,September,LOAD FACTOR,79.06,%
1993,October,PEAK,9656.9,MW
1993,October,GENERATION,5588.163007,GWh
1993,October,LOAD FACTOR,77.77,%
1993,November,PEAK,9839.4,MW
1993,November,GENERATION,5368.600797,GWh
1993,November,LOAD FACTOR,75.78,%
1993,December,PEAK,9810.6,MW
1993,December,GENERATION,5124.874373,GWh
1993,December,LOAD FACTOR,70.21,%
1994,January,PEAK,9732.2,MW
1994,January,GENERATION,5462.342299,GWh
1994,January,LOAD FACTOR,75.43,%
1994,February,PEAK,9948,MW
1994,February,GENERATION,5287.215248,GWh
1994,February,LOAD FACTOR,79.09,%
1994,March,PEAK,10200,MW
1994,March,GENERATION,6103.41785,GWh
1994,March,LOAD FACTOR,80.42,%
1994,April,PEAK,10550.7,MW
1994,April,GENERATION,5939.922317,GWh
1994,April,LOAD FACTOR,78.19,%
1994,May,PEAK,10548,MW
1994,May,GENERATION,6259.123438,GWh
1994,May,LOAD FACTOR,79.75,%
1994,June,PEAK,10392.8,MW
1994,June,GENERATION,6064.562348,GWh
1994,June,LOAD FACTOR,81.04,%
1994,July,PEAK,10267.1,MW
1994,July,GENERATION,6102.282184,GWh
1994,July,LOAD FACTOR,79.88,%
1994,August,PEAK,10284.1,MW
1994,August,GENERATION,6172.484602,GWh
1994,August,LOAD FACTOR,80.67,%
1994,September,PEAK,10708.8,MW
1994,September,GENERATION,6178.147412,GWh
1994,September,LOAD FACTOR,80.12,%
1994,October,PEAK,10631.5,MW
1994,October,GENERATION,6175.931353,GWh
1994,October,LOAD FACTOR,78.07,%
1994,November,PEAK,10889.3,MW
1994,November,GENERATION,6124.813368,GWh
1994,November,LOAD FACTOR,78.11,%
1994,December,PEAK,11064,MW
1994,December,GENERATION,6103.009436,GWh
1994,December,LOAD FACTOR,74.14,%
1995,January,PEAK,10939.2,MW
1995,January,GENERATION,6013.985273,GWh
1995,January,LOAD FACTOR,73.89,%
1995,February,PEAK,11159.2,MW
1995,February,GENERATION,5758.970019,GWh
1995,February,LOAD FACTOR,76.79,%
1995,March,PEAK,11693.9,MW
1995,March,GENERATION,7108.041721,GWh
1995,March,LOAD FACTOR,81.69,%
1995,April,PEAK,12210.8,MW
1995,April,GENERATION,6705.064593,GWh
1995,April,LOAD FACTOR,76.26,%
1995,May,PEAK,12267.9,MW
1995,May,GENERATION,7124.661868,GWh
1995,May,LOAD FACTOR,78.05,%
1995,June,PEAK,11851.7,MW
1995,June,GENERATION,7014.304713,GWh
1995,June,LOAD FACTOR,82.19,%
1995,July,PEAK,11781.5,MW
1995,July,GENERATION,6968.102642,GWh
1995,July,LOAD FACTOR,79.49,%
1995,August,PEAK,11761.8,MW
1995,August,GENERATION,7015.459388,GWh
1995,August,LOAD FACTOR,80.16,%
1995,September,PEAK,11882.6,MW
1995,September,GENERATION,6767.086924,GWh
1995,September,LOAD FACTOR,79.09,%
1995,October,PEAK,11639.2,MW
1995,October,GENERATION,6927.095975,GWh
1995,October,LOAD FACTOR,79.99,%
1995,November,PEAK,11772.3,MW
1995,November,GENERATION,6660.521826,GWh
1995,November,LOAD FACTOR,78.58,%
1995,December,PEAK,11874.3,MW
1995,December,GENERATION,6373.032276,GWh
1995,December,LOAD FACTOR,72.13,%
1996,January,PEAK,11936.3,MW
1996,January,GENERATION,6713.781063,GWh
1996,January,LOAD FACTOR,75.6,%
1996,February,PEAK,12127.1,MW
1996,February,GENERATION,6429.171158,GWh
1996,February,LOAD FACTOR,76.17,%
1996,March,PEAK,13310.9,MW
1996,March,GENERATION,7650.943,GWh
1996,March,LOAD FACTOR,77.25,%
1996,April,PEAK,13276.1,MW
1996,April,GENERATION,7302.690901,GWh
1996,April,LOAD FACTOR,76.39,%
1996,May,PEAK,13145.7,MW
1996,May,GENERATION,7685.644113,GWh
1996,May,LOAD FACTOR,78.58,%
1996,June,PEAK,12890.7,MW
1996,June,GENERATION,7422.904512,GWh
1996,June,LOAD FACTOR,79.97,%
1996,July,PEAK,12917.8,MW
1996,July,GENERATION,7650.682515,GWh
1996,July,LOAD FACTOR,79.6,%
1996,August,PEAK,12948.3,MW
1996,August,GENERATION,7714.75485,GWh
1996,August,LOAD FACTOR,80.08,%
1996,September,PEAK,12940.2,MW
1996,September,GENERATION,7392.088956,GWh
1996,September,LOAD FACTOR,79.34,%
1996,October,PEAK,13153.7,MW
1996,October,GENERATION,7670.478104,GWh
1996,October,LOAD FACTOR,78.37,%
1996,November,PEAK,13129.3,MW
1996,November,GENERATION,7328.401668,GWh
1996,November,LOAD FACTOR,77.52,%
1996,December,PEAK,12356.6,MW
1996,December,GENERATION,6835.73497,GWh
1996,December,LOAD FACTOR,74.35,%
1997,January,PEAK,12677.6,MW
1997,January,GENERATION,7139.383934,GWh
1997,January,LOAD FACTOR,75.69,%
1997,February,PEAK,13305.6,MW
1997,February,GENERATION,6987.444713,GWh
1997,February,LOAD FACTOR,78.14,%
1997,March,PEAK,14043.5,MW
1997,March,GENERATION,8295.828197,GWh
1997,March,LOAD FACTOR,79.39,%
1997,April,PEAK,14043.4,MW
1997,April,GENERATION,7657.206831,GWh
1997,April,LOAD FACTOR,75.72,%
1997,May,PEAK,14506.3,MW
1997,May,GENERATION,8544.922685,GWh
1997,May,LOAD FACTOR,79.17,%
1997,June,PEAK,14234.5,MW
1997,June,GENERATION,8323.831003,GWh
1997,June,LOAD FACTOR,81.21,%
1997,July,PEAK,13709.1,MW
1997,July,GENERATION,8187.423114,GWh
1997,July,LOAD FACTOR,80.27,%
1997,August,PEAK,13409.8,MW
1997,August,GENERATION,8040.530291,GWh
1997,August,LOAD FACTOR,80.59,%
1997,September,PEAK,13226.1,MW
1997,September,GENERATION,7712.564216,GWh
1997,September,LOAD FACTOR,80.99,%
1997,October,PEAK,13126.9,MW
1997,October,GENERATION,7847.441323,GWh
1997,October,LOAD FACTOR,80.35,%
1997,November,PEAK,12917.3,MW
1997,November,GENERATION,7342.865425,GWh
1997,November,LOAD FACTOR,78.95,%
1997,December,PEAK,12879.6,MW
1997,December,GENERATION,7327.947652,GWh
1997,December,LOAD FACTOR,76.47,%
1998,January,PEAK,12732.1,MW
1998,January,GENERATION,7227.141683,GWh
1998,January,LOAD FACTOR,76.29,%
1998,February,PEAK,13402.9,MW
1998,February,GENERATION,7221.277527,GWh
1998,February,LOAD FACTOR,80.17,%
1998,March,PEAK,13927.3,MW
1998,March,GENERATION,8331.633031,GWh
1998,March,LOAD FACTOR,80.4,%
1998,April,PEAK,14179.9,MW
1998,April,GENERATION,7826.811221,GWh
1998,April,LOAD FACTOR,76.66,%
1998,May,PEAK,13981.4,MW
1998,May,GENERATION,8243.866716,GWh
1998,May,LOAD FACTOR,79.25,%
1998,June,PEAK,13484.1,MW
1998,June,GENERATION,7851.5525,GWh
1998,June,LOAD FACTOR,80.87,%
1998,July,PEAK,13593.2,MW
1998,July,GENERATION,7813.189146,GWh
1998,July,LOAD FACTOR,77.25,%
1998,August,PEAK,12994,MW
1998,August,GENERATION,7641.68462,GWh
1998,August,LOAD FACTOR,79.04,%
1998,September,PEAK,12849.3,MW
1998,September,GENERATION,7460.938059,GWh
1998,September,LOAD FACTOR,80.64,%
1998,October,PEAK,12795.1,MW
1998,October,GENERATION,7590.705268,GWh
1998,October,LOAD FACTOR,79.73,%
1998,November,PEAK,12673.8,MW
1998,November,GENERATION,7104.960103,GWh
1998,November,LOAD FACTOR,77.86,%
1998,December,PEAK,12604.9,MW
1998,December,GENERATION,6841.923097,GWh
1998,December,LOAD FACTOR,72.95,%
1999,January,PEAK,12674.4,MW
1999,January,GENERATION,7021.41914,GWh
1999,January,LOAD FACTOR,74.46,%
1999,February,PEAK,12897.8,MW
1999,February,GENERATION,6724.412229,GWh
1999,February,LOAD FACTOR,77.58,%
1999,March,PEAK,13712.4,MW
1999,March,GENERATION,8242.728063,GWh
